"Date","Price","Open","High","Low","Vol.","Change %"
"07-01-2021","121.66","124.10","125.69","117.35","8.70M","-1.14%"
"08-01-2021","121.78","122.07","122.19","119.52","2.93M","0.10%"
"11-01-2021","121.06","120.42","121.41","119.39","3.31M","-0.59%"
"12-01-2021","121.62","122.00","122.32","120.72","2.67M","0.46%"
"13-01-2021","122.40","121.60","123.89","121.16","3.68M","0.64%"
"14-01-2021","123.78","122.65","124.50","122.08","3.40M","1.13%"
"15-01-2021","122.15","122.48","122.86","121.71","3.95M","-1.32%"
"19-01-2021","126.75","125.49","128.06","124.24","5.82M","3.77%"
"20-01-2021","128.94","127.19","129.54","127.07","4.09M","1.73%"
"21-01-2021","127.43","128.29","128.89","126.10","3.66M","-1.17%"
"22-01-2021","126.14","125.74","127.06","124.88","2.96M","-1.01%"
"25-01-2021","121.15","124.24","125.00","120.32","6.16M","-3.96%"
"26-01-2021","116.15","118.75","120.29","115.72","8.93M","-4.13%"
"27-01-2021","114.09","114.86","116.80","112.10","5.82M","-1.77%"
"28-01-2021","118.97","117.43","120.38","116.60","5.79M","4.28%"
"29-01-2021","116.26","117.74","118.39","115.81","5.06M","-2.28%"
"01-02-2021","117.03","117.70","119.29","117.00","3.36M","0.66%"
"02-02-2021","120.70","118.29","122.42","118.28","4.04M","3.14%"
"03-02-2021","120.44","120.08","120.98","119.56","2.78M","-0.22%"
"04-02-2021","124.90","120.99","125.41","120.80","3.92M","3.70%"
"05-02-2021","126.28","126.62","127.34","125.63","3.18M","1.10%"
"08-02-2021","127.99","126.87","128.40","126.75","3.36M","1.35%"
"09-02-2021","126.68","127.65","127.66","126.20","2.17M","-1.02%"
"10-02-2021","128.23","127.63","128.70","126.84","2.93M","1.22%"
"11-02-2021","128.31","127.45","129.12","126.98","3.73M","0.06%"
"12-02-2021","129.62","128.19","130.46","128.00","2.87M","1.02%"
"16-02-2021","130.68","128.91","130.91","128.25","2.73M","0.82%"
"17-02-2021","128.56","130.08","131.16","128.44","3.20M","-1.62%"
"18-02-2021","128.49","127.49","128.83","126.07","2.27M","-0.05%"
"19-02-2021","131.71","129.49","133.36","129.49","3.42M","2.51%"
"22-02-2021","135.95","131.51","136.47","131.37","3.92M","3.22%"
"23-02-2021","136.94","136.47","138.31","134.28","4.81M","0.73%"
"24-02-2021","139.89","137.20","140.95","136.81","4.10M","2.15%"
"25-02-2021","137.08","140.62","140.64","136.37","3.61M","-2.01%"
"26-02-2021","135.26","137.10","138.25","133.79","3.65M","-1.33%"
"01-03-2021","138.71","138.18","139.77","138.12","2.97M","2.55%"
"02-03-2021","139.25","138.24","140.19","138.08","2.93M","0.39%"
"03-03-2021","142.59","140.00","144.25","140.00","4.39M","2.40%"
"04-03-2021","142.68","142.15","144.11","139.95","4.46M","0.06%"
"05-03-2021","147.33","144.66","147.96","142.08","5.05M","3.26%"
"08-03-2021","150.27","147.28","151.46","146.72","4.28M","2.00%"
"09-03-2021","145.10","148.58","149.08","144.11","5.81M","-3.44%"
"10-03-2021","146.75","145.70","148.29","145.44","3.05M","1.14%"
"11-03-2021","147.75","146.00","147.82","145.13","3.15M","0.68%"
"12-03-2021","148.54","149.10","150.64","148.02","2.42M","0.53%"
"15-03-2021","146.99","148.04","148.92","146.03","2.59M","-1.04%"
"16-03-2021","143.30","147.25","147.26","142.82","4.03M","-2.51%"
"17-03-2021","144.68","144.76","144.82","141.90","3.28M","0.96%"
"18-03-2021","142.58","145.49","145.50","142.07","3.17M","-1.45%"
"19-03-2021","140.71","141.90","141.94","139.74","5.10M","-1.31%"
"22-03-2021","139.95","139.49","140.99","138.81","2.27M","-0.54%"
"23-03-2021","136.08","138.94","139.50","135.13","4.91M","-2.77%"
"24-03-2021","138.42","137.97","140.04","137.61","2.64M","1.72%"
"25-03-2021","142.28","137.95","142.53","136.76","2.77M","2.79%"
"26-03-2021","143.73","143.74","143.98","141.05","2.69M","1.02%"
"29-03-2021","142.37","141.98","143.07","140.31","2.22M","-0.95%"
"30-03-2021","143.49","142.90","144.48","142.61","2.03M","0.79%"
"31-03-2021","141.44","142.98","143.26","141.35","2.96M","-1.43%"
"01-04-2021","144.57","142.34","144.63","142.21","2.63M","2.21%"
"05-04-2021","146.06","146.91","147.48","145.61","2.96M","1.03%"
"06-04-2021","146.15","145.98","146.53","144.38","2.85M","0.06%"
"07-04-2021","147.13","147.42","148.36","145.72","2.40M","0.67%"
"08-04-2021","147.04","146.80","147.16","144.68","2.30M","-0.06%"
"09-04-2021","147.78","148.21","148.44","146.69","1.78M","0.50%"
"12-04-2021","147.57","147.26","147.77","146.41","1.87M","-0.14%"
"13-04-2021","145.99","146.55","146.60","143.84","2.13M","-1.07%"
"14-04-2021","147.42","145.81","148.75","145.70","2.14M","0.98%"
"15-04-2021","148.53","147.51","148.59","145.50","2.90M","0.75%"
"16-04-2021","149.99","149.71","150.45","148.69","3.48M","0.98%"
"19-04-2021","148.54","149.19","149.51","147.80","2.26M","-0.97%"
"20-04-2021","145.10","147.21","147.50","144.51","2.53M","-2.32%"
"21-04-2021","147.18","144.00","147.38","143.02","2.16M","1.43%"
"22-04-2021","147.16","147.57","148.92","145.87","3.25M","-0.01%"
"23-04-2021","144.33","141.54","144.98","140.68","6.40M","-1.92%"
"26-04-2021","150.34","146.80","151.12","145.56","4.82M","4.16%"
"27-04-2021","150.36","150.70","150.88","148.85","2.69M","0.01%"
"28-04-2021","152.54","150.68","153.46","149.44","2.58M","1.45%"
"29-04-2021","154.63","153.85","155.08","152.09","2.64M","1.37%"
"30-04-2021","153.35","153.60","154.04","152.48","2.71M","-0.83%"
"03-05-2021","154.80","154.59","156.05","154.01","2.73M","0.95%"
"04-05-2021","154.53","154.48","155.74","152.84","3.03M","-0.17%"
"05-05-2021","156.39","154.87","156.73","154.32","3.00M","1.20%"
"06-05-2021","156.88","156.86","157.51","154.02","2.80M","0.31%"
"07-05-2021","158.98","155.61","159.26","155.34","2.62M","1.34%"
"10-05-2021","158.68","159.75","160.69","158.50","2.99M","-0.19%"
"11-05-2021","154.43","156.46","157.79","153.65","3.90M","-2.68%"
"12-05-2021","152.30","154.72","155.90","152.07","3.49M","-1.38%"
"13-05-2021","154.08","152.41","154.81","151.81","2.27M","1.17%"
"14-05-2021","157.15","155.39","157.93","154.53","1.89M","1.99%"
"17-05-2021","156.86","157.05","157.38","155.88","1.54M","-0.18%"
"18-05-2021","154.99","157.36","158.30","154.86","2.42M","-1.19%"
"19-05-2021","154.73","152.07","154.77","151.72","3.53M","-0.17%"
"20-05-2021","155.53","155.47","156.25","153.93","3.03M","0.52%"
"21-05-2021","156.87","156.70","158.81","156.35","3.42M","0.86%"
"24-05-2021","158.64","157.70","158.90","156.95","1.96M","1.13%"
"25-05-2021","158.01","159.07","160.08","157.74","2.48M","-0.40%"
"26-05-2021","158.58","158.16","159.38","157.37","3.73M","0.36%"
"27-05-2021","159.74","159.98","160.29","158.85","2.83M","0.73%"
"28-05-2021","160.13","160.26","160.63","158.86","2.44M","0.24%"
"01-06-2021","163.76","162.51","164.11","161.55","3.83M","2.27%"
"02-06-2021","164.12","164.61","165.69","163.32","3.38M","0.22%"
"03-06-2021","164.52","163.68","165.42","162.82","2.45M","0.24%"
"04-06-2021","165.00","165.00","165.73","163.32","3.24M","0.29%"
"07-06-2021","165.92","165.63","166.65","165.37","2.52M","0.56%"
"08-06-2021","166.51","164.86","167.14","163.63","2.49M","0.36%"
"09-06-2021","164.09","165.27","166.14","163.80","2.70M","-1.45%"
"10-06-2021","162.23","165.18","165.21","162.12","3.02M","-1.13%"
"11-06-2021","164.51","163.00","164.54","162.51","1.63M","1.41%"
"14-06-2021","163.81","164.30","164.88","163.11","2.13M","-0.43%"
"15-06-2021","166.27","163.93","166.90","163.80","3.73M","1.50%"
"16-06-2021","164.68","165.78","166.65","164.27","3.28M","-0.96%"
"17-06-2021","162.13","165.97","166.00","160.53","4.19M","-1.55%"
"18-06-2021","158.17","158.70","159.67","157.25","6.90M","-2.44%"
"21-06-2021","164.90","160.08","165.21","159.13","3.68M","4.25%"
"22-06-2021","164.50","163.42","165.24","162.46","2.70M","-0.24%"
"23-06-2021","166.02","165.03","166.86","164.79","2.33M","0.92%"
"24-06-2021","168.21","167.05","168.58","166.41","2.42M","1.32%"
"25-06-2021","169.45","168.45","170.41","168.45","9.19M","0.74%"
"28-06-2021","164.78","168.62","168.85","163.20","3.43M","-2.76%"
"29-06-2021","164.25","165.57","166.32","163.23","2.79M","-0.32%"
"30-06-2021","165.23","163.70","166.16","163.70","2.33M","0.60%"
"01-07-2021","166.94","165.65","167.37","164.69","2.69M","1.03%"
"02-07-2021","168.50","167.70","168.98","167.01","2.03M","0.93%"
"06-07-2021","169.56","172.54","172.54","167.80","4.69M","0.63%"
"07-07-2021","170.98","169.60","174.76","169.38","4.00M","0.84%"
"08-07-2021","167.50","166.95","170.04","165.59","4.63M","-2.04%"
"09-07-2021","171.94","170.00","172.31","169.21","3.18M","2.65%"
"12-07-2021","173.60","170.07","174.10","169.88","3.15M","0.97%"
"13-07-2021","172.62","174.00","174.74","172.42","2.67M","-0.56%"
"14-07-2021","172.52","172.86","174.55","171.01","3.12M","-0.06%"
"15-07-2021","172.85","171.14","173.26","171.10","3.45M","0.19%"
"16-07-2021","170.01","173.74","173.79","169.54","4.36M","-1.64%"
"19-07-2021","162.81","165.65","166.38","161.48","6.74M","-4.24%"
"20-07-2021","168.87","162.94","169.58","162.57","4.24M","3.72%"
"21-07-2021","172.51","170.74","173.62","169.74","3.38M","2.16%"
"22-07-2021","170.90","172.25","173.21","169.05","3.34M","-0.93%"
